,AvailableSupply,BTCPrice,CMCname,Change1h,Change24h,Change7d,MaxSupply,Mcap,Symbol,TotalSupply,USDPrice,Vol24h,bctpages,lastentry,Algo,Network,Exchange,Exchange,Exchange,Exchange
bitcoin-silver,,0.00000099,bitcoin-silver,0.07,27.28,81.56,,,BTCS,50000000.0,0.0141473,11892.9,8,<b>Today</b> at 01:13:18 AM,,,,,,
bitcoin-unlimited,,0.00397052,bitcoin-unlimited,,,,,,BTU,,53.7457,,0,0,,,,,,
bitcoin2x,,0.00000099,bitcoin2x,-0.63,2.4,55.26,,,BTC2X,21000000.0,0.014159,1213.81,15,<b>Today</b> at 01:24:55 AM,,,,,,
bitcoindark,1288862.0,0.0228945,bitcoindark,2.39,13.47,-1.74,,422070144.0,BTCD,1288862.0,327.475,262136.0,543,"January 12, 2018, 10:15:00 AM",POS,POS,Cryptopia,,,Bittrex
bitcoinfast,5354168.0,0.00001306,bitcoinfast,-1.3,3.33,17.18,,1000041.0,BCF,8255296.0,0.186778,13457.7,13,"January 10, 2018, 03:09:30 AM",Scrypt,Hybrid,Cryptopia,,,
bitcoinx,,0.00000573,bitcoinx,-2.56,18.11,36.9,210000000000,,BCX,,0.0819542,14608900.0,0,0,,,,,,
bitcoinz,896262612.0,0.00000123,bitcoinz,2.09,4.75,37.06,21000000000.0,15813389.0,BTCZ,896262612.0,0.0176437,139832.0,285,<b>Today</b> at 02:59:21 AM,,,,,,
bitconnect,6207565.0,0.0229895,bitconnect,1.81,10.8,-19.6,28000000.0,2041252255.0,BCC,9559518.0,328.833,23312700.0,227,"<span class=""edited"" title=""Last edit: January 12, 2018, 11:44:16 PM by Blaster66613"">January 12, 2018, 11:26:10 PM</span>",,,,,Binance,Bittrex
bitcore,2312256.0,0.00180035,bitcore,2.07,15.33,-5.16,,59424283.0,BTX,16746106.0,25.6997,2281230.0,574,<b>Today</b> at 02:17:53 AM,Other,POW,Cryptopia,,,
bitcrystals,23187059.0,0.00008805,bitcrystals,1.42,8.09,25.8,,29183001.0,BCY,23187059.0,1.25859,695620.0,232,"January 12, 2018, 06:22:41 PM",,,,,,Bittrex
bitcurrency,169598616.0,0.00000055,bitcurrency,1.29,37.53,72.3,,1333467.0,BTCR,169598616.0,0.00786249,1331.54,25,"January 12, 2018, 05:37:45 PM",,,,,,
bitdeal,175583793.0,0.00000648,bitdeal,-0.47,12.03,-19.1,300000000.0,16258813.0,BDL,219592312.0,0.0925986,146377.0,0,0,Scrypt,POW,Cryptopia,,,
bitdegree,,0.00003536,bitdegree,-1.42,,,,,BDG,514800000.0,0.505413,902075.0,27,<b>Today</b> at 03:33:27 AM,,,,,,
bitdice,70000000.0,0.00002887,bitdice,2.35,-0.55,-2.87,,28888090.0,CSNO,100000000.0,0.412687,53972.2,39,"January 12, 2018, 06:16:48 PM",,,,,,
biteur,115019.0,0.00008853,biteur,1.36,3.37,7.46,,144996.0,BITEUR,115019.0,1.26063,4710.98,0,0,,,,,,
bitfid,,0.00000410,bitfid,-0.16,-27.81,-58.76,,,FID,,0.0586276,143.957,0,0,,,,,,
bitgem,59820.0,0.00064031,bitgem,0.99,21.21,12.2,,547794.0,BTG,59820.0,9.15743,9933.21,56,<b>Today</b> at 03:20:12 AM,,,,,,
bitgold,194.0,0.103675,bitgold,0.24,25.84,1.84,,287400.0,BITGOLD,194.0,1478.31,449.288,0,0,,,,,,
bitmark,7792640.0,0.00022417,bitmark,2.71,12.67,5.29,,24968865.0,BTM,7792640.0,3.20416,92985.0,160,"January 12, 2018, 09:13:59 PM",,,,,,
bitok,,0.00000002,bitok,0.02,37.62,70.62,,,BITOK,2000000000.0,0.00028618,26941.9,12,"<span class=""edited"" title=""Last edit: January 12, 2018, 05:47:50 AM by Easteregg69"">January 12, 2018, 05:13:29 AM</span>",,,,,,
bitpark-coin,75000000.0,0.00000225,bitpark-coin,-18.03,14.96,134.7,,2420610.0,BPC,100000000.0,0.0322748,4243.06,10,"January 12, 2018, 09:59:22 PM",,,,,,
bitquark,9318838.0,0.00000281,bitquark,0.53,105.32,142.59,,374106.0,BTQ,9318838.0,0.0401451,3979.73,91,"January 12, 2018, 10:51:46 PM",,,,,,
bitqy,2913457159.0,0.00000082,bitqy,12.38,28.88,24.37,,34188546.0,BQ,10000000000.0,0.0117347,10180.3,0,0,,,,,,
bitradio,6019948.0,0.00008500,bitradio,5.31,14.72,55.55,,7346925.0,BRO,11019951.0,1.22043,51257.6,100,<b>Today</b> at 01:05:46 AM,POS,POS,Cryptopia,,,
bitsend,17827875.0,0.00012509,bitsend,1.11,9.17,21.5,,31876241.0,BSD,17827875.0,1.788,2861390.0,203,"January 12, 2018, 02:30:25 PM",Other,POW,Cryptopia,,,Bittrex
bitserial,,0.00004180,bitserial,0.78,8.7,-62.08,,,BTE,28000000.0,0.598163,71822.0,0,0,,,,,,
bitshares,2606950000.0,0.00004555,bitshares,0.55,13.1,-16.06,3600570502.0,1698365358.0,BTS,2606950000.0,0.651476,51158700.0,50,"January 12, 2018, 05:49:46 PM",,,,,Binance,
bitsilver,20563.0,0.00130379,bitsilver,-2.9,-7.6,0.25,,382286.0,BITSILVER,20563.0,18.5908,0.100311,0,0,,,,,,
bitsoar,,0.00000997,bitsoar,6.08,10.91,-12.74,,,BSR,3680091532.0,0.14266,342733.0,0,0,,,,,,
bitstar,23079737.0,0.00000645,bitstar,7.26,6.39,-6.47,,2137352.0,BITS,23079737.0,0.0926073,5252.3,104,"January 10, 2018, 12:59:55 PM",Scrypt,POS,Cryptopia,,,
bitswift,4069197.0,0.00013855,bitswift,,0.23,-20.94,,7474952.0,SWIFT,4069197.0,1.83696,,17,"January 12, 2018, 01:50:25 PM",,,,,,
bittokens,572773.0,0.00007780,bittokens,1.11,-9.9,-41.46,,637319.0,BXT,572773.0,1.11269,812.563,7,"January 07, 2018, 08:57:35 PM",,,,,,
bitusd,29573000.0,0.00006676,bitusd,1.05,2.6,3.88,,28219917.0,BITUSD,29573000.0,0.954246,4811770.0,0,0,,,,,,
bitvolt,15112554.0,0.00000025,bitvolt,0.07,26.42,121.44,,54016.0,VOLT,60132654.0,0.00357423,2076.08,4,"January 08, 2018, 04:02:21 PM",,,,,,
bitz,1990891.0,0.00001152,bitz,-0.2,6.52,,,327034.0,BITZ,1990891.0,0.164265,16.2706,6,"<span class=""edited"" title=""Last edit: July 18, 2016, 05:39:36 PM by EBK1000"">April 24, 2016, 04:32:03 PM</span>",,,,,,
bitzeny,75614500.0,0.00001995,bitzeny,1.93,-4.67,42.9,,21566692.0,ZNY,75614500.0,0.285219,187378.0,15,"January 12, 2018, 02:44:48 PM",,,,,,
blackcoin,76603805.0,0.00007014,blackcoin,2.65,10.11,12.75,,76699560.0,BLK,76603805.0,1.00125,3170040.0,1707,"January 12, 2018, 03:44:01 PM",POS,POS,Cryptopia,,,Bittrex
blackmoon-crypto,20882538.0,0.0001326,blackmoon-crypto,0.43,-1.73,56.6,,39527303.0,BMC,60000000.0,1.89284,5648530.0,0,0,,,,,,
blackstar,630795971.0,0.00000003,blackstar,49.91,58.86,154.8,,269473.0,BSTAR,630795971.0,0.000427195,2172.58,4,"December 29, 2016, 11:30:13 PM",,,,,,
blakecoin,15122697.0,0.00000374,blakecoin,0.99,-12.2,-8.8,,808880.0,BLC,15122697.0,0.0534878,2872.38,195,"January 10, 2018, 04:17:05 PM",Blake256,POW,Cryptopia,,,
blakestar,288292167.0,0.00000045,blakestar,14.99,-0.18,62.69,2400000000.0,1837978.0,BLAS,288292167.0,0.0063754,54645.8,26,"January 12, 2018, 06:50:57 PM",,,,,,
blazecoin,608557394.0,0.00000006,blazecoin,,,-1.82,,674507.0,BLZ,608557394.0,0.00110837,,17,"January 12, 2018, 02:20:37 AM",Scrypt,POW,Cryptopia,,,
blazercoin,,0.00000029,blazercoin,2.76,-7.36,147.61,,,BLAZR,,0.00411664,6477.94,0,0,,,,,,
blitzcash,4118759.0,0.00038,blitzcash,2.49,58.71,62.93,,22371082.0,BLITZ,4118759.0,5.43151,2625280.0,29,<b>Today</b> at 03:02:40 AM,,,,,,Bittrex
blockcat,7360121.0,0.00042288,blockcat,1.45,12.16,119.33,,44430034.0,CAT,9200151.0,6.03659,1225850.0,17,"January 12, 2018, 09:38:02 AM",Scrypt,POW,Cryptopia,,,
blockcdn,,0.00001351,blockcdn,1.57,-7.41,-11.93,,,BCDN,1000000000.0,0.19327,152877.0,0,0,,,,,,
blockchain-index,,0.00045008,blockchain-index,0.22,5.39,8.31,,,BLX,498612.0,6.43592,1441.65,0,0,,,,,,
blockmason,45166200.0,0.00009346,blockmason,-1.48,5.07,14.73,,60255776.0,BCPT,116158667.0,1.33409,8415800.0,0,0,None,Asset,Cryptopia,Kucoin,Binance,
blocknet,4968158.0,0.00335283,blocknet,0.35,4.79,-7.37,,237929043.0,BLOCK,4968158.0,47.8908,547021.0,431,"January 12, 2018, 04:43:40 PM",,,,,,Bittrex
blockpay,5428300.0,0.00002130,blockpay,0.46,1.08,-6.0,,1648477.0,BLOCKPAY,98928316.0,0.303682,147.152,0,0,,,,,,
blockpool,22293890.0,0.00005506,blockpool,2.92,-6.97,28.49,,17549951.0,BPL,25264095.0,0.787209,236055.0,54,<b>Today</b> at 01:12:15 AM,Other,DPOS,Cryptopia,,,
blocktix,40000000.0,0.00012324,blocktix,0.5,26.54,-14.49,,70370800.0,TIX,62500000.0,1.75927,4348940.0,19,"January 10, 2018, 11:48:04 PM",None,Asset,Cryptopia,,,Bittrex
blockv,1494971209.0,0.00001579,blockv,3.11,3.18,54.83,,337552539.0,VEE,3646271241.0,0.225792,5957000.0,13,"January 10, 2018, 12:27:43 PM",,,,,,
bluecoin,574683675.0,0.00000089,bluecoin,4.78,6.94,-5.77,,7325608.0,BLU,574683675.0,0.0127472,3794.02,87,"January 12, 2018, 10:47:13 PM",,,,,,
bnrtxcoin,27560001.0,0.00000088,bnrtxcoin,-10.26,3.96,155.99,,346487.0,BNX,27560001.0,0.0125721,5925.79,8,"January 12, 2018, 11:28:06 AM",X11,POW,Cryptopia,,,
bodhi,40000000.0,0.00009250,bodhi,2.06,6.17,-1.4,100000000.0,52819600.0,BOT,60000000.0,1.32049,14418300.0,0,0,,,,,,
bolenum,10000000.0,0.00000253,bolenum,-14.86,-17.09,19.75,,361772.0,BLN,10000000.0,0.0361772,16162.2,0,0,,,,,,
bolivarcoin,8742700.0,0.00000707,bolivarcoin,-4.52,1.15,11.63,,883572.0,BOLI,8742700.0,0.101064,4800.72,14,"January 12, 2018, 07:57:17 PM",X11,POW,Cryptopia,,,
bongger,,,,,,,,,,,,,,,Scrypt,POW,Cryptopia,,,
bonpay,11290301.0,0.00014617,bonpay,4.98,4.91,97.9,,23588826.0,BON,21745688.0,2.0893,255889.0,43,"January 12, 2018, 10:36:33 AM",None,Asset,Cryptopia,,,
boolberry,10917673.0,0.00029444,boolberry,2.08,17.9,97.84,18450000.0,45887963.0,BBR,10917673.0,4.20309,28625.2,446,"January 12, 2018, 11:52:08 PM",CryptoNight,POW,Cryptopia,,,
boostcoin,11855487.0,0.00000140,boostcoin,0.53,35.36,45.49,,237123.0,BOST,11855487.0,0.0200011,940.679,0,0,,,,,,
boscoin,,0.000418,boscoin,1.63,36.78,81.08,,,BOS,500000000.0,5.98115,183321.0,209,<b>Today</b> at 01:31:56 AM,,,,,,
bounty0x,117919817.0,0.00004270,bounty0x,4.0,-6.12,118.53,,71874959.0,BNTY,500000000.0,0.609524,2661030.0,6,"January 07, 2018, 07:29:58 PM",,,,Kucoin,,
bowhead,8000000.0,0.00014194,bowhead,2.45,3.47,425.88,,16235200.0,AHT,100000000.0,2.0294,16070.6,27,"<span class=""edited"" title=""Last edit: July 26, 2017, 05:04:18 AM by mprep"">July 26, 2017, 01:01:51 AM</span>",,,,,,
bowscoin,5550102.0,0.00000134,bowscoin,33.73,33.66,75.25,,106047.0,BSC,5550102.0,0.0191072,183.838,16,"January 08, 2018, 06:10:00 PM",,,,,,
braincoin,10094424.0,0.00000092,braincoin,-0.09,20.75,22.47,22000000.0,132244.0,BRAIN,10094424.0,0.0131007,1172.94,0,0,,,,,,
brat,160000000.0,0.00000039,brat,3.88,20.94,282.21,,884357.0,BRAT,1000000000.0,0.00552723,31214.8,29,<b>Today</b> at 12:58:52 AM,,,,,,
bread,59805881.0,0.00018488,bread,-0.2,7.25,-11.3,,157932379.0,BRD,88862718.0,2.64075,18691800.0,0,0,,,,,Binance,
breakout,18142083.0,0.00008310,breakout,2.27,6.98,104.36,,21549710.0,BRK,18142083.0,1.18783,1111690.0,220,"January 11, 2018, 09:54:58 PM",,,,,,Bittrex
breakout-stake,6268082.0,0.00018345,breakout-stake,1.03,7.8,32.24,,16440554.0,BRX,6268082.0,2.6229,287664.0,220,"January 11, 2018, 09:54:58 PM",,,,,,Bittrex
briacoin,643522.0,0.00006956,briacoin,,,-0.23,3000000.0,737200.0,BRIA,643522.0,1.14557,,16,"<span class=""edited"" title=""Last edit: January 12, 2018, 03:50:07 AM by asicprofit"">January 12, 2018, 03:38:30 AM</span>",,,,,,
bridgecoin,27000000.0,0.00059436,bridgecoin,0.03,12.14,32.5,27000000.0,229221630.0,BCO,27000000.0,8.48969,469222.0,51,"January 12, 2018, 11:23:55 PM",,,,,,
britcoin,21268092.0,0.00000643,britcoin,1.36,12.82,-18.72,,1955140.0,BRIT,21268092.0,0.0919283,1379.47,35,"January 02, 2018, 05:31:23 PM",,,,,,
bt1-cst,,1.27928,bt1-cst,,,-1.25,,,BT1,,18273.0,,0,0,,,,,,
bt2-cst,,0.0280457,bt2-cst,,,-2.06,,,BT2,,400.6,,0,0,,,,,,
btcmoon,,0.00000180,btcmoon,2.82,57.63,95.58,,,BTCM,21000000.0,0.0257073,13116.0,24,"January 12, 2018, 06:40:05 PM",,,,,,
btctalkcoin,65290635.0,0.00000047,btctalkcoin,-0.19,46.23,1.46,,437563.0,TALK,65290635.0,0.00670177,28.5073,66,"January 11, 2018, 02:35:11 PM",,,,,,
btsr,3284266.0,0.00002018,btsr,0.22,9.28,-22.58,,944824.0,BTSR,3284266.0,0.287682,293.105,0,0,,,,,,
bubble,,0.00000332,bubble,-0.11,37.54,42.69,,,BUB,768753.0,0.0474741,106.187,9,"January 08, 2018, 06:55:54 AM",,,,,,
bulwark,2073949.0,0.00115988,bulwark,14.61,22.67,57.1,27000000.0,34338589.0,BWK,2391495.0,16.5571,1258620.0,52,"January 12, 2018, 11:51:49 PM",Nist5,POW,Cryptopia,,,
bumbacoin,22574450.0,0.00000190,bumbacoin,9.07,8.53,113.72,,613136.0,BUMBA,22574450.0,0.0271606,3374.51,29,<b>Today</b> at 01:02:34 AM,X11,POS,Cryptopia,,,
bunnycoin,102443338589,0.000000003,bunnycoin,15.1,-18.11,-25.5,,5006181.0,BUN,102443338589,0.0000488678,1739.36,58,<b>Today</b> at 02:04:52 AM,Scrypt,POW,Cryptopia,,,
burst,1800339818.0,0.00000530,burst,3.62,13.6,-12.5,2158812800.0,136318490.0,BURST,1800339818.0,0.0757182,6024160.0,41,<b>Today</b> at 02:37:02 AM,,,,,,Bittrex
burstocean,211827.0,0.00000356,burstocean,13.47,315.38,-47.7,,10770.0,OCEAN,1000000.0,0.0508411,0.101682,0,0,,,,,,
buzzcoin,11031022268.0,0.00000013,buzzcoin,3.7,57.13,99.11,20000000000.0,19936146.0,BUZZ,11031022268.0,0.00180728,361794.0,60,<b>Today</b> at 12:02:14 AM,,,,,,
byteball,645222.0,0.0690302,byteball,-1.26,37.5,27.82,,637081932.0,GBYTE,1000000.0,987.384,14210000.0,837,<b>Today</b> at 02:34:35 AM,Scrypt,POW,Cryptopia,,,Bittrex
bytecent,1949501.0,0.00019125,bytecent,2.83,8.64,12.09,,5347307.0,BYC,1949501.0,2.74291,181723.0,85,"January 11, 2018, 09:29:27 PM",,,,,,Bittrex
bytecoin-bcn,183658226464,0.00000083,bytecoin-bcn,3.84,26.82,-21.2,184470000000,2168489412.0,BCN,183658226464,0.0118072,16322000.0,341,"January 12, 2018, 08:52:57 PM",,,,,,
bytom,987000000.0,0.00004608,bytom,5.49,24.07,25.49,,650540583.0,BTM,1407000000.0,0.659109,46404600.0,17,"January 12, 2018, 09:18:41 AM",None,Asset,Cryptopia,Kucoin,,
c-bit,157625875.0,0.00000056,c-bit,-9.15,-1.83,26.48,,1270375.0,XCT,157625875.0,0.00805943,31282.4,7,"January 08, 2018, 09:44:40 AM",SHA256,POW,Cryptopia,,,
cabbage,10499996.0,0.00000041,cabbage,0.14,31.93,94.22,,61548.0,CAB,10499996.0,0.00586174,769.395,0,0,,,,,,
cachecoin,4195132.0,0.00000685,cachecoin,-3.76,-14.28,37.55,10000000.0,410295.0,CACH,4195132.0,0.0978026,4786.18,46,"January 01, 2018, 02:36:33 AM",Scrypt_jane,Hybrid,Cryptopia,,,
californium,2416555.0,0.00000485,californium,35.97,4.65,12.84,,166895.0,CF,2416555.0,0.0690632,524.876,20,"January 12, 2018, 07:18:14 AM",,,,,,
caliphcoin,87140.0,0.00000012,caliphcoin,0.07,24.76,-17.76,189000000.0,150.0,CALC,148587140.0,0.00171563,1181.82,3,"December 21, 2017, 05:29:44 AM",,,,,,
campuscoin,324023547.0,0.00000145,campuscoin,-3.57,-11.91,184.22,1010000000.0,6757738.0,CMPCO,524023547.0,0.0208557,265253.0,20,"January 12, 2018, 09:32:38 PM",Scrypt,POW,Cryptopia,,,
canada-ecoin,97415544.0,0.00000351,canada-ecoin,-0.62,1.19,65.74,,4898784.0,CDN,97415544.0,0.0502875,36078.3,9,"January 12, 2018, 03:43:04 AM",Scrypt,POW,Cryptopia,,,
cannabiscoin,77231176.0,0.00001692,cannabiscoin,1.41,8.84,-11.57,,18678283.0,CANN,91859176.0,0.241849,635319.0,327,"January 10, 2018, 09:39:39 PM",X11,POW,Cryptopia,,,Bittrex
cannacoin,4700423.0,0.00002052,cannacoin,0.99,-10.7,-37.21,,1378831.0,CCN,4700423.0,0.293342,8990.94,65,"January 12, 2018, 04:35:12 AM",Scrypt,POW,Cryptopia,,,
cannation,2476893.0,0.00002114,cannation,0.42,-0.02,-3.46,,748735.0,CNNC,2476893.0,0.302288,26350.4,9,"December 08, 2017, 04:49:40 PM",POS,POS,Cryptopia,,,
canyacoin,,0.0001995,canyacoin,-1.6,-16.4,,,,CAN,100000000.0,2.85127,5494140.0,0,0,,,,,,
cappasity,,0.00002388,cappasity,-4.0,0.89,-15.29,,,CAPP,438686537.0,0.341289,950213.0,55,<b>Today</b> at 12:05:22 AM,None,Asset,Cryptopia,,,
capricoin,1990045.0,0.00012237,capricoin,2.34,30.09,39.24,205000000.0,3494221.0,CPC,200995023.0,1.75585,1579350.0,10,"November 07, 2017, 04:21:37 PM",,,,,,Bittrex
carboncoin,15392013665.0,0.00000007,carboncoin,-9.07,-11.07,238.94,,15847617.0,CARBON,15392013665.0,0.0010296,72246.8,26,"January 12, 2018, 12:09:18 PM",,,,,,
cardano,25927070538.0,0.00006767,cardano,4.5,42.9,-2.67,45000000000.0,25097378354.0,ADA,31112483745.0,0.967999,428476000.0,0,0,,,,,Binance,Bittrex
cartaxi-token,60594811.0,0.00000978,cartaxi-token,1.15,6.64,84.92,,8512420.0,CTX,80506222.0,0.140481,34615.1,39,"January 09, 2018, 10:03:38 AM",,,,,,
cash-poker-pro,,0.00000693,cash-poker-pro,-2.34,7.05,21.78,,,CASH,100000000.0,0.099022,16692.3,15,"January 09, 2018, 01:31:57 PM",,,,,,
cashcoin,47650310.0,0.00000044,cashcoin,2.87,36.55,205.8,,299533.0,CASH,47650310.0,0.00628606,2087.52,169,"January 12, 2018, 03:57:07 AM",,,,,,
cashme,,0.00000002,cashme,-0.11,-29.55,18.67,,,CME,,0.000285988,283.977,7,"January 03, 2017, 04:57:28 PM",,,,,,
casino,1000000.0,0.00009714,casino,2.55,,-22.47,,1385180.0,CASINO,1000000.0,1.38518,20.7777,0,0,,,,,,
casinocoin,,0.00002727,casinocoin,,,,,,CSC,38601187.0,0.508835,,206,"January 12, 2018, 08:57:35 AM",Scrypt,POW,Cryptopia,,,
catcoin,6269550.0,0.00001029,catcoin,4.12,9.25,58.1,,922646.0,CAT,6269550.0,0.147163,24262.7,23,<b>Today</b> at 12:39:14 AM,,,,,,
cbd-crystals,,0.00000019,cbd-crystals,-0.11,-11.48,15.0,,,CBD,,0.00271689,34.3346,15,"January 20, 2017, 09:35:24 PM",,,,,,
ccminer,3360417.0,0.00000048,ccminer,2.45,13.6,94.71,,22821.0,CCM100,6000000.0,0.00679116,18.2139,0,0,,,,,,
ccore,1200000.0,0.00017332,ccore,-0.01,2.94,177.53,,2984220.0,CCO,10000000.0,2.48685,53470.8,74,"<span class=""edited"" title=""Last edit: January 12, 2018, 02:29:30 PM by schmuddelkind"">January 12, 2018, 02:04:09 PM</span>",,,,,,
centra,68000000.0,0.00022523,centra,-2.42,18.98,-2.5,,218760760.0,CTR,98272765.0,3.21707,14017500.0,115,"January 12, 2018, 11:47:31 PM",None,Asset,Cryptopia,,Binance,
centurion,73877869.0,0.00000454,centurion,-5.13,53.2,79.9,250000000.0,4805903.0,CNT,78877869.0,0.065052,16002.2,10,"January 11, 2018, 01:41:43 PM",,,,,,
cfun,,0.00000708,cfun,-0.63,18.7,,,,CFUN,,0.101129,6710140.0,0,0,,,,,,
chaincoin,14455518.0,0.00007519,chaincoin,-7.87,-10.88,86.83,23000000.0,15540405.0,CHC,16485216.0,1.07505,298570.0,166,"January 12, 2018, 05:20:49 PM",C11,POW,Cryptopia,,,
chainlink,350000000.0,0.00007613,chainlink,3.05,6.6,11.18,,381111500.0,LINK,1000000000.0,1.08889,9518470.0,0,0,,,,,Binance,
chancoin,7136114.0,0.00000818,chancoin,-0.22,-22.79,-42.52,,832007.0,4CHN,7136114.0,0.116591,19.9619,6,"January 12, 2018, 10:51:36 PM",Scrypt,POW,Cryptopia,,,
change,37109887.0,0.00008534,change,0.82,-0.31,76.73,,45206151.0,CAG,79184116.0,1.21817,2145710.0,53,"January 12, 2018, 10:35:04 AM",,,,Kucoin,,
cheapcoin,,0.00000010,cheapcoin,-0.11,14.7,40.78,,,CHEAP,,0.00142994,477.974,11,"June 24, 2017, 06:06:16 AM",,,,,,
chesscoin,54032769.0,0.00000099,chesscoin,0.63,-4.49,-23.52,,765169.0,CHESS,54032769.0,0.0141612,58765.9,98,"January 12, 2018, 02:16:11 PM",Scrypt,POS,Cryptopia,,,
chips,20491715.0,0.00004700,chips,2.36,5.02,41.69,21000000.0,13770310.0,CHIPS,20491715.0,0.671994,2487.47,17,"January 11, 2018, 10:33:40 AM",,,,,,
chronobank,710113.0,0.00307788,chronobank,2.34,5.68,2.0,,31199729.0,TIME,710113.0,43.9363,664955.0,391,"January 11, 2018, 08:04:15 AM",,,,,,
chronologic,,0.00022374,chronologic,45.28,29.73,15.6,,,DAY,763931.0,3.1987,11111.1,36,"January 07, 2018, 10:06:13 AM",,,,,,
chronos,73729962.0,0.00000255,chronos,10.41,-31.94,318.64,,2695302.0,CRX,73729962.0,0.0365564,182983.0,80,"January 12, 2018, 06:45:54 AM",Scrypt,POW,Cryptopia,,,
cindicator,1445976590.0,0.00000888,cindicator,0.74,2.77,-18.69,,183494429.0,CND,2000000005.0,0.1269,9219400.0,154,"January 12, 2018, 11:59:35 PM",,,,,Binance,
circuits-of-value,1000000000.0,0.00000227,circuits-of-value,0.86,9.2,-10.6,,32403900.0,COVAL,1200000000.0,0.0324039,503317.0,28,"January 12, 2018, 07:58:19 PM",,,,,,Bittrex
civic,342699966.0,0.00007555,civic,1.64,20.4,-0.3,,370359280.0,CVC,1000000000.0,1.08071,41576200.0,89,"January 12, 2018, 09:41:13 PM",,,,Kucoin,,Bittrex
clams,2814973.0,0.00084457,clams,2.42,6.93,10.96,,33937591.0,CLAM,16528065.0,12.0561,959630.0,430,"January 12, 2018, 07:01:11 PM",Scrypt,Hybrid,Cryptopia,,,Bittrex
clearpoll,6999991.0,0.00060176,clearpoll,0.33,14.13,79.84,,60130133.0,POLL,8999992.0,8.59003,874268.0,5,"January 12, 2018, 03:58:58 AM",Other,POW,Cryptopia,Kucoin,,
cloakcoin,5053693.0,0.00158495,cloakcoin,2.59,16.03,-3.82,,114410556.0,CLOAK,5053693.0,22.639,1064650.0,493,<b>Today</b> at 01:38:03 AM,POS,POS,Cryptopia,,,Bittrex
clubcoin,,0.00020423,clubcoin,0.94,12.56,-4.32,160000000.0,,CLUB,98324199.0,2.92234,603180.0,8,"December 27, 2017, 08:43:23 AM",,,,,,Bittrex
cobinhood,344156938.0,0.00009315,cobinhood,2.16,28.38,281.71,,458551262.0,COB,1000000000.0,1.33239,5797010.0,63,"January 12, 2018, 10:53:49 PM",,,,,,
coexistcoin,27100000.0,0.00000065,coexistcoin,0.36,7.74,86.12,,252431.0,COXST,27100000.0,0.00931481,0.115412,108,"January 07, 2018, 06:18:37 PM",,,,,,
coffeecoin,148716816.0,0.00000007,coffeecoin,,,,,4577.0,CFC,148716816.0,0.0000307762,,208,"November 16, 2017, 02:38:44 PM",,,,,,
cofound-it,325000000.0,0.00002068,cofound-it,5.34,17.4,-13.26,,95940975.0,CFI,500000000.0,0.295203,2467400.0,30,"January 12, 2018, 03:35:46 PM",,,,,,Bittrex
coimatic-2,13532750.0,0.00000032,coimatic-2,-12.72,62.62,42.2,102000000.0,59507.0,CTIC2,30132750.0,0.00439723,2568.18,54,"January 12, 2018, 01:00:35 PM",,,,,,
coimatic-3,2259512.0,0.00000242,coimatic-3,-3.56,-5.23,-30.34,102000000.0,78190.0,CTIC3,102000000.0,0.034605,34942.8,54,"January 12, 2018, 01:00:35 PM",None,Asset,Cryptopia,,,
coin,105175239.0,0.00000084,coin,6.31,14.01,14.43,,1262965.0,CNO,105175239.0,0.0120082,8386.24,11,"November 12, 2017, 06:29:10 AM",X11,Hybrid,Cryptopia,,,
coin2-1,99976323.0,0.00000135,coin2-1,9.61,30.85,47.24,,1929433.0,C2,99976323.0,0.0192989,9859.03,148,<b>Today</b> at 12:48:49 AM,Scrypt,Hybrid,Cryptopia,,,
coindash,560650080.0,0.00001295,coindash,-3.65,15.19,-24.61,,103697278.0,CDT,1000000000.0,0.184959,9824000.0,51,"January 12, 2018, 08:33:58 PM",,,,,Binance,
coinlancer,,0.00002598,coinlancer,3.69,12.25,,,,CL,300000000.0,0.371359,1104610.0,55,"January 12, 2018, 11:22:39 PM",,,,,,
coinonat,8623200.0,0.00000331,coinonat,3.78,84.73,28.09,,408202.0,CXT,10123200.0,0.0473377,40879.0,4,"January 11, 2018, 01:27:03 PM",Nist5,POW,Cryptopia,,,
coinonatx,17788567.0,0.00001509,coinonatx,2.2,-4.67,179.41,48252000.0,3849054.0,XCXT,17788567.0,0.216378,126171.0,45,<b>Today</b> at 02:39:41 AM,X11,Hybrid,Cryptopia,,,
colossuscoin-v2,2358819009.0,0.00000005,colossuscoin-v2,1.29,18.46,19.04,,1686018.0,CV2,22977351798.0,0.000714772,2157.79,80,"January 12, 2018, 07:01:12 AM",Scrypt,Hybrid,Cryptopia,,,
colossuscoinxt,4027031669.0,0.00000106,colossuscoinxt,3.37,-2.6,13.44,,61003087.0,COLX,12204883809.0,0.0151484,745211.0,108,<b>Today</b> at 02:38:11 AM,,,,,,
comet,872830.0,0.00002748,comet,-0.45,8.81,36.14,,342670.0,CMT,872830.0,0.392596,9651.82,23,"January 12, 2018, 08:04:09 PM",,,,,,
commodity-ad-network,,0.00003089,commodity-ad-network,4.8,,,,,CDX,,0.441972,204106.0,10,"January 12, 2018, 04:57:28 PM",,,,,,
compcoin,,0.00106005,compcoin,-0.07,4.46,-6.94,,,CMP,6412789.0,15.1552,9425.07,10,"January 10, 2018, 04:02:49 PM",Scrypt,POW,Cryptopia,,,
