,AvailableSupply,BTCPrice,CMCname,Change1h,Change24h,Change7d,MaxSupply,Mcap,Symbol,TotalSupply,USDPrice,Vol24h,bctpages,lastentry,Algo,Network,Exchange,Exchange,Exchange,Exchange
bit20,1.0,46.2921,bit20,1.09,4.75,-14.06,,672642.0,BTWTY,1.0,662049.0,11250.2,5,"December 11, 2017, 07:31:49 AM",,,,,,
bitair,,0.00000069,bitair,2.34,17.57,-16.2,,,BTCA,1000000000.0,0.00993629,304107.0,22,<b>Today</b> at 03:07:51 AM,,,,,,
bitalphacoin,,0.00000100,bitalphacoin,212.15,252.38,193.84,,,BAC,,0.0142967,7475.24,0,0,,,,,,
bitasean,5000000.0,0.00001789,bitasean,4.92,99.32,114.77,,1278750.0,BAS,30000000.0,0.25575,42134.4,81,<b>Today</b> at 02:56:02 AM,,,,,,
bitbar,35910.0,0.00607027,bitbar,13.7,6.43,87.92,,3127723.0,BTB,35910.0,87.0996,6455.16,63,"January 11, 2018, 09:04:07 PM",Scrypt,Hybrid,Cryptopia,,,
bitbase,,0.00000049,bitbase,25.44,0.94,93.9,100000000.0,,BTBc,20257950.0,0.00700671,1246.48,127,"January 11, 2018, 09:34:08 PM",,,,,,
bitbay,1009008566.0,0.00001485,bitbay,1.86,16.11,-18.13,,214064194.0,BAY,1009008566.0,0.212153,5510450.0,302,"January 11, 2018, 08:08:17 PM",Scrypt,POW,Cryptopia,,,Bittrex
bitbean,,,,,,,,,,,,,,,POS,POS,Cryptopia,,,Bittrex
bitboost,4862878.0,0.00015494,bitboost,-2.49,-3.54,54.36,,10817910.0,BBT,100000000.0,2.22459,113546.0,113,"January 12, 2018, 10:17:29 PM",,,,,,
bitbtc,53.0,1.08526,bitbtc,1.15,-0.66,-14.98,,816700.0,BITBTC,53.0,15520.9,17272.0,0,0,,,,,,
bitcedi,,0.00000305,bitcedi,-1.26,5.87,182.01,,,BXC,,0.0436048,3593.85,49,"January 12, 2018, 11:21:33 AM",CryptoNight,POW,Cryptopia,,,
bitclave,,0.00001977,bitclave,-3.73,5.81,69.44,,,CAT,299798552.0,0.282484,4593980.0,61,"January 12, 2018, 11:42:48 PM",,,,,,
bitcloud,17408075.0,0.00005803,bitcloud,3.26,17.11,1.36,,14444524.0,BTDX,17408075.0,0.82976,44864.5,50,"January 12, 2018, 02:48:10 PM",Scrypt,POW,Cryptopia,,,
bitcny,502402000.0,0.00000978,bitcny,0.51,4.0,2.57,,70119745.0,BITCNY,502402000.0,0.139569,96988700.0,0,0,,,,,,
bitcoal,4500000.0,0.00002592,bitcoal,6.81,26.07,662.41,12500000.0,1667421.0,COAL,4500000.0,0.370538,40641.1,27,"January 12, 2018, 05:45:00 PM",CryptoNight,POW,Cryptopia,,,
bitcoin,16799450.0,1.0,bitcoin,2.07,6.72,-17.16,21000000.0,239791989410,BTC,16799450.0,14273.8,12386900000.0,0,0,SHA256,POW,Cryptopia,,,
bitcoin-21,793108.0,0.00001499,bitcoin-21,-0.19,30.51,-5.56,,169522.0,XBTC21,7093108.0,0.213744,212.505,14,"November 29, 2017, 01:44:01 PM",,,,,,
bitcoin-cash,16908425.0,0.183773,bitcoin-cash,0.21,6.66,3.22,21000000.0,44397466028.0,BCH,16908425.0,2625.76,1122500000.0,655,"January 12, 2018, 11:43:17 PM",SHA256,POW,Cryptopia,Kucoin,,
bitcoin-diamond,,0.00125757,bitcoin-diamond,1.87,4.36,-26.32,210000000.0,,BCD,154445750.0,17.9729,10017700.0,0,0,,,,Kucoin,Binance,
bitcoin-god,,0.00780191,bitcoin-god,-1.28,,,21000000.0,,GOD,,111.637,158042.0,0,0,,,,,,
bitcoin-gold,16760799.0,0.0156718,bitcoin-gold,1.44,6.38,-19.85,21000000.0,3757184416.0,BTG,16860799.0,224.165,116486000.0,104,"January 11, 2018, 03:48:18 PM",Scrypt,Hybrid,Cryptopia,Kucoin,Binance,Bittrex
bitcoin-planet,5918550.0,0.00000850,bitcoin-planet,0.99,21.3,233.02,,719477.0,BTPL,6417150.0,0.121563,1350.9,13,"January 12, 2018, 03:20:27 PM",,,,,,
bitcoin-plus,104941.0,0.0123648,bitcoin-plus,2.52,26.97,19.3,,18552329.0,XBC,104941.0,176.789,373757.0,185,"January 12, 2018, 07:56:50 PM",POS,POS,Cryptopia,,,
bitcoin-red,20350001.0,0.00000746,bitcoin-red,5.4,58.24,33.9,,2179119.0,BTCRED,21000000.0,0.107082,85668.0,47,"January 12, 2018, 08:08:34 PM",,,,,,
bitcoin-scrypt,16577000.0,0.00001677,bitcoin-scrypt,-3.7,27.59,79.11,,3987034.0,BTCS,16577000.0,0.240516,24276.9,12,"January 06, 2018, 03:18:46 AM",Scrypt,POW,Cryptopia,,,
